dim,mu_time,s_time,mu_relE,s_relE,method
2.0,0.0007760800000000101,0.00013677468186765516,1.5027221972019226e-16,1.6825476062665932e-16,0.0
3.0,0.0007337199999999999,8.630713527861214e-05,1.4107633532502788e-15,3.596000360741224e-15,0.0
4.0,0.0007840599999999931,0.0001332449488723577,6.620017490353011e-16,1.1369331363222365e-15,0.0
5.0,0.0007718800000000181,4.8524072376506154e-05,1.4011884408962595e-15,3.332966312570658e-15,0.0
6.0,0.0007866800000000262,2.792951127392639e-05,1.5977354070032478e-15,2.7737062582438483e-15,0.0
7.0,0.0008425200000000111,3.6810998356474905e-05,2.8048012465170437e-15,7.649800996578905e-15,0.0
8.0,0.0009501199999999521,0.00010489778643987296,2.4199771854875894e-15,4.180198889609371e-15,0.0
9.0,0.0009645199999999221,3.21124524130671e-05,3.4276699918327396e-15,4.7478873522615676e-15,0.0
10.0,0.0010328400000017268,0.00011471780332959022,6.573238397058757e-15,2.4397220631590295e-14,0.0
11.0,0.0010799999999494504,0.00019969997497167776,1.5068103787464306e-14,6.692495930749802e-14,0.0
2.0,0.00019259999999998278,1.3526270735135398e-05,1.7441546356362763e-16,1.8655266928941545e-16,1.0
3.0,0.00020940000000000403,5.888972745750437e-06,9.484394763223324e-16,2.4092316714566735e-15,1.0
4.0,0.0002824599999999933,3.1541217478097354e-05,6.812261808350244e-16,1.3900520786216705e-15,1.0
5.0,0.000565819999999988,1.0474139582817557e-05,1.9047795443255747e-15,4.1159837121270155e-15,1.0
6.0,0.002393279999999982,0.0001226890443356558,3.224872559524885e-15,1.0864596067282456e-14,1.0
7.0,0.015115760000000008,0.00020308171360317363,2.876904559134539e-15,8.440748845584579e-15,1.0
8.0,0.12063036000000006,0.0008229708320468825,4.426572933562884e-15,1.1714826809808438e-14,1.0
9.0,1.09444122,0.01700253352684849,9.818646151410075e-15,2.0505232331205232e-14,1.0
10.0,10.758557720000004,0.15587898887008686,9.310158582513805e-15,3.4605125914565106e-14,1.0
11.0,117.80862170000007,1.7088103644818347,1.3366041021340628e-14,2.8181220116786156e-14,1.0
2.0,0.00020298000000000814,1.0433580401767542e-05,,,2.0
3.0,0.00019557999999998633,8.665079341813063e-06,,,2.0
4.0,0.00020335999999998577,1.7626979321474772e-05,,,2.0
5.0,0.00019901999999998753,8.257093919781436e-06,,,2.0
6.0,0.00019885999999999182,7.090867365857153e-06,,,2.0
7.0,0.0002078799999999781,1.0773374587391067e-05,,,2.0
8.0,0.00022495999999993187,7.152510048865026e-06,,,2.0
9.0,0.00022684000000001704,5.445585368179275e-06,,,2.0
10.0,0.00022958000000073754,1.4605601668474201e-05,,,2.0
11.0,0.0002444399999831148,6.44574775485059e-05,,,2.0
