pH,SpConduct,DissOxy,RoadsPct,IndPct,UrbanPct,DevPct,WellClass,Aquifier,Depth,SafeYld,Distance,MTBEDetect,MTBE,HouseDen,PopDen
1,7.87,290,0.58,1.34,0,17.77,17.77,Private,Bedrock,60.96,NA,2386.29,BelowLimit,0.2,131.16,43.19
2,8.63,225.9,0.84,0.72,0,10.43,10.43,Private,Bedrock,36.576,NA,3667.69,BelowLimit,0.2,47.69,24.52
3,7.11,157.4,8.37,1.92,0,29.62,50.01,Private,Bedrock,152.4,NA,2324.15,BelowLimit,0.2,85.16,33.32
4,7.98,723.6,0.41,2.76,0,41.65,41.65,Private,Bedrock,NA,NA,788.88,BelowLimit,0.2,134.77,46.61
5,7.88,148.7,1.44,3.51,0,51.21,51.21,Private,Bedrock,91.44,NA,1337.88,BelowLimit,0.2,198.54,78.58
6,8.36,198.2,0.18,1.48,0,22.49,29.19,Private,Bedrock,115.824,NA,2396.74,BelowLimit,0.2,206.73,59.47
7,6.92,807.2,1.85,2.86,0,40.59,43.44,Private,Bedrock,92.964,NA,1425.59,Detect,0.51,272.54,81.02
8,7.15,67.6,6.16,0.78,1.35,14.54,15.56,Private,Bedrock,85.344,NA,2053.95,BelowLimit,0.2,27.35,9.24
9,7.55,1077,3.93,1.5,0,16.79,16.79,Private,Bedrock,NA,NA,1672.33,Detect,1.32,86.89,26.61
10,6.25,320.1,7.14,3.6,0,61.17,64.18,Private,Bedrock,48.768,NA,1374.62,BelowLimit,0.2,919.12,331.9
11,6.81,381.3,0.31,1.79,0,28.67,28.67,Private,Bedrock,40.8432,NA,1212.42,Detect,0.95,223.87,85.43
12,7.02,494.8,1.54,2.76,0,77.45,89.34,Private,Bedrock,NA,NA,564.99,BelowLimit,0.2,206.49,55.48
13,8.52,198.4,0.22,1.01,0,15.7,21.17,Private,Bedrock,126.492,NA,1530.39,BelowLimit,0.2,24.3,8.95
14,6.39,95.1,1.82,0.79,0,7.8,7.8,Private,Bedrock,76.2,NA,1402.41,BelowLimit,0.2,20.54,8.5
15,7.37,207.4,1.52,2.6,0,46.5,54.81,Private,Bedrock,91.44,NA,2345.26,Detect,0.53,275.97,86.02
